NAME,count
"Block Group 1, Census Tract 2707.03, Baltimore city, Maryland",18
"Block Group 1, Census Tract 2708.02, Baltimore city, Maryland",1
"Block Group 1, Census Tract 2708.03, Baltimore city, Maryland",1
"Block Group 1, Census Tract 2708.04, Baltimore city, Maryland",6
"Block Group 1, Census Tract 2708.05, Baltimore city, Maryland",3
"Block Group 1, Census Tract 2709.02, Baltimore city, Maryland",3
"Block Group 1, Census Tract 2709.03, Baltimore city, Maryland",3
"Block Group 1, Census Tract 2710.02, Baltimore city, Maryland",11
"Block Group 1, Census Tract 2711.01, Baltimore city, Maryland",6
"Block Group 1, Census Tract 2711.02, Baltimore city, Maryland",17
"Block Group 1, Census Tract 2712, Baltimore city, Maryland",23
"Block Group 1, Census Tract 2713, Baltimore city, Maryland",21
"Block Group 1, Census Tract 2714, Baltimore city, Maryland",11
"Block Group 1, Census Tract 2715.01, Baltimore city, Maryland",81
"Block Group 1, Census Tract 2715.03, Baltimore city, Maryland",5
"Block Group 1, Census Tract 2717, Baltimore city, Maryland",2
"Block Group 1, Census Tract 2718.01, Baltimore city, Maryland",3
"Block Group 1, Census Tract 2718.02, Baltimore city, Maryland",7
"Block Group 1, Census Tract 2719, Baltimore city, Maryland",23
"Block Group 1, Census Tract 2720.03, Baltimore city, Maryland",5
"Block Group 1, Census Tract 2720.05, Baltimore city, Maryland",10
"Block Group 1, Census Tract 2801.01, Baltimore city, Maryland",1
"Block Group 1, Census Tract 2801.02, Baltimore city, Maryland",1
"Block Group 1, Census Tract 2802, Baltimore city, Maryland",5
"Block Group 1, Census Tract 2803.01, Baltimore city, Maryland",15
"Block Group 1, Census Tract 2804.01, Baltimore city, Maryland",20
"Block Group 1, Census Tract 2804.02, Baltimore city, Maryland",1
"Block Group 1, Census Tract 2804.03, Baltimore city, Maryland",30
"Block Group 1, Census Tract 2804.04, Baltimore city, Maryland",10
"Block Group 1, Census Tract 2806, Baltimore city, Maryland",1
"Block Group 1, Census Tract 301, Baltimore city, Maryland",2
"Block Group 1, Census Tract 302, Baltimore city, Maryland",29
"Block Group 1, Census Tract 4001, Baltimore County, Maryland",11
"Block Group 1, Census Tract 4002, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4004, Baltimore County, Maryland",11
"Block Group 1, Census Tract 4005, Baltimore County, Maryland",108
"Block Group 1, Census Tract 4006, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4007.01, Baltimore County, Maryland",21
"Block Group 1, Census Tract 4007.02, Baltimore County, Maryland",29
"Block Group 1, Census Tract 4008, Baltimore County, Maryland",1
